ID,GovernmentSurveillance,PersonallyConcerned,TakeMeasures_Computer,ProtectiveMeasures_Computer,TakeMeasures_Mobile,ProtectiveMeasures_Mobile,SignalFamiliarity,TorFamiliarity
1,2,2,TRUE,VPN,FALSE,,0,3
2,1,0,TRUE,Private Browsing,TRUE,Offline,0,2
3,2,0,TRUE,Offline,FALSE,,1,0
4,1,1,TRUE,Encryption,TRUE,Offline,0,0
5,2,2,FALSE,,FALSE,,0,0
6,2,0,TRUE,Offline,TRUE,Offline,0,0
7,2,0,FALSE,,FALSE,,0,2
8,2,1,FALSE,,FALSE,,0,2
9,2,2,TRUE,"VPN, Private Browsing",FALSE,,0,2
10,0,0,FALSE,,FALSE,,3,3
11,0,0,FALSE,,FALSE,,0,0
12,1,1,FALSE,,TRUE,Offline,0,2
13,2,2,TRUE,Offline,TRUE,Offline,0,2
14,0,0,FALSE,,FALSE,,0,1
15,2,2,TRUE,Online,FALSE,,0,1
16,1,0,FALSE,,FALSE,,0,0
17,1,0,FALSE,,FALSE,,0,0
18,0,0,FALSE,,TRUE,Online,0,2
19,1,0,FALSE,,FALSE,,0,0
20,2,2,TRUE,Offline,FALSE,,0,1
21,2,2,TRUE,Offline,TRUE,Offline,0,0
22,2,2,FALSE,,FALSE,,0,3
23,0,0,FALSE,,FALSE,,0,0
24,2,2,TRUE,VPN,FALSE,,0,2
25,2,1,TRUE,Encryption,TRUE,Offline,0,3
26,2,2,TRUE,"VPN, Tor",TRUE,Online,0,2
27,2,2,TRUE,Encryption,FALSE,,0,2
28,2,2,TRUE,VPN,FALSE,,0,3
29,2,0,TRUE,Offline,FALSE,,0,3
30,0,0,FALSE,,FALSE,,0,0
